Article Number,Product Name,Category,Price (MKD),Has Image
31134,CL/4 GU10-LED chrome/sat-clear 'CABO 1',Внатрешно осветлување,3.37,Yes
31166,LED-DL WEISS M.MOND/WOLKEN 'ESTUBENY',Внатрешно осветлување,6104.74,Yes
31167,HL/1 E27 NICKEL-M/WEISS 'ESTUBENY',Внатрешно осветлување,4182.8,Yes
31168,LED-DL GRAU M.MOND/WOLKEN 'ESTUBENY',Внатрешно осветлување,6104.74,Yes
31169,HL/1 E27 NICKEL-M/GRAU 'ESTUBENY',Внатрешно осветлување,4182.8,Yes
31262,WL/1 white/chrome 'TAMARA 1',Внатрешно осветлување,1.76,Yes
31263,3-light white/chrome 'TAMARA 1',,3.29,Yes
31264,4-light white/chrome 'TAMARA 1',,3.99,Yes
31265,WL/1 nickel-m./chrome 'TAMARA 1',Внатрешно осветлување,2.08,Yes
31266,3-light nickel-m./chrome 'TAMARA 1',,4.3,Yes
31267,4-light nickel-m./chrome 'TAMARA 1',,7.26,Yes
31315,AL-WL/1 AUFW.SCHWARZ/WEISS 'BELFORT 1',Внатрешно осветлување,1.19,Yes
31316,AL-WL/1 ABW.SCHWARZ/WEISS 'BELFORT 1',Внатрешно осветлување,1.19,Yes
31317,AL-WL/1 AUFW.M.SENSOR SW/WS 'BELFORT 1',Внатрешно осветлување,2.34,Yes
31327,WL/DL/1 GU10-LED CHROM/SAT-KLAR 'ARBORIO,Внатрешно осветлување,1317.15,Yes
31328,WL/DL/3 GU10-LED CHROM/SAT-KLAR 'ARBORIO,Внатрешно осветлување,2823.03,Yes
31345,AL-WL/1 AUFW.WEISS 'BELFORT 1',Внатрешно осветлување,1.19,Yes
31346,AL-WL/1 ABW.WEISS 'BELFORT 1',Внатрешно осветлување,1.19,Yes
31347,AL-WL/1 AUFW.M.SENSOR WEISS 'BELFORT 1',Внатрешно осветлување,2.36,Yes
31411,WL/1 GU10 nickel-matt 'MINI',Внатрешно осветлување,844,Yes
31412,2-light GU10 nickel-matt 'MINI',Сијалици,1.43,Yes
31413,3-light round GU10 nickel-matt 'MINI',Сијалици,1.91,Yes
31414,WL/1 GU10 white 'MINI',Внатрешно осветлување,846,Yes
31415,2-light GU10 white 'MINI',Сијалици,1.41,Yes
31416,3-light round GU10 white 'MINI',Сијалици,1.87,Yes
31489,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,58.19,Yes
31519,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,25.71,Yes
31566,AL-WL/2 E27 SCHWARZ/SW-TRANSP.'ALAMONTE',Внатрешно осветлување,3.57,Yes
31571,HL/1 Ø380 nickel-m/white 'PASTERI',Внатрешно осветлување,3.08,Yes
31572,HL/1 Ø380 nickel-m/taupe 'PASTERI',Внатрешно осветлување,3.08,Yes
31573,HL/1 Ø380 nickel-m/grey-matt 'PASTERI',Внатрешно осветлување,3.08,Yes
31574,HL/1 Ø380 anthracite-brown 'PASTERI',Внатрешно осветлување,2.81,Yes
31575,HL/1 Ø530 nickel-m/white 'PASTERI',Внатрешно осветлување,3.87,Yes
31576,HL/1 Ø530 NICKEL-M/TAUPE 'PASTERI',Внатрешно осветлување,3478.56,Yes
31577,HL/1 Ø530 NICKEL-M/GRAU-MATT 'PASTERI',Внатрешно осветлување,3478.56,Yes
31588,LED-CL Ø320 white 'PASTERI',Внатрешно осветлување,2.81,Yes
31589,LED-CL Ø320 taupe 'PASTERI',Внатрешно осветлување,2.81,Yes
31594,TL/1 E27 nickel-m/white 'PASTERI',Внатрешно осветлување,2.28,Yes
